name,task,accuracy,f1,precision,recall
Logistic Regression,binary,0.69375,0.6925972700978644,0.692810901534527,0.69375
Random Forest,binary,0.65625,0.6534118104582984,0.65478515625,0.65625
XGBoost,binary,0.6625,0.6592631074168798,0.661293159875634,0.6625
Logistic Regression,multiclass,0.75,0.7487007967392545,0.7479578602712931,0.75
Random Forest,multiclass,0.65,0.6382922824302135,0.6433862433862434,0.65
XGBoost,multiclass,0.675,0.6716309937995482,0.6697185061315497,0.675
